,s1_corr0,s1_corr_offset,s1_offset,s2_corr0,s2_corr_offset,s2_offset,devID
0,0.264428038095327,0.39885660184149885,0.06,0.19233158486912155,0.31367119156920076,0.1,005093c6-7880-8728-1256-26822f05cfb0_deviceMotion.csv
1,0.1919181022645564,0.2081691575353217,0.06,0.29536684469564756,0.38361472880994335,0.1,01393de0-e72e-5e80-f06f-8fdb5d0080cb_deviceMotion.csv
2,0.25884829352573613,0.25884829352573613,0.0,0.22476382295553024,0.3302755983805493,0.22,01d00c32-d4dc-8ce6-353c-43143401adf3_deviceMotion.csv
3,0.058389754975212795,0.1609900499349866,0.9400000000000001,0.0,,,03fcbb15-14c6-b806-80b8-e2c161654dd6_deviceMotion.csv
4,0.324571810313608,0.3425268384742663,0.08,0.2603898273830234,0.2603898273830234,0.0,04e20480-91d3-cd85-3470-8656b157978f_deviceMotion.csv
5,0.07443012580710448,0.29479665001044086,0.62,0.17032355575170044,0.3241994356299985,0.74,053bd8a0-2ed7-46e9-c088-8eaea2448192_deviceMotion.csv
6,0.03098121299367315,0.087698609473385,0.14,0.20235117014334592,0.25109044731814684,0.16,0ab9bf2b-a0c7-f823-0fde-6295eedb207e_deviceMotion.csv
7,0.3803455436584416,0.3803455436584416,0.0,0.0075983173359641595,0.603326308771619,0.28,195bb6e0-55ec-d521-d69e-7bfa7cf86b9a_deviceMotion.csv
8,0.1941061638816798,0.2705117668288954,0.12,0.2760597565993961,0.40049297767806497,0.1,1a9a903b-9524-f8c2-a943-81a108880e46_deviceMotion.csv
9,0.2097517583660991,0.2097517583660991,0.0,,,,1f6cba0e-36f5-b0c4-8117-00e1608ad7c3_deviceMotion.csv
10,0.04790909745659188,,,0.06819409241760992,0.08860196435426579,0.12,20395f60-420d-ad45-5d8e-11674c5d174c_deviceMotion.csv
11,0.07908647639560219,0.08271056843576662,0.02,0.1241716907019329,0.2498435823206648,0.14,21a7c459-6987-302c-0945-5e6d691a6bb9_deviceMotion.csv
12,0.13606736074285308,0.3333226148511317,-0.84,0.23371836036785223,0.43652699731285943,-0.76,24ae5e42-8442-d093-94b9-7ed4f9daf5dd_deviceMotion.csv
13,0.013749578274564868,0.025889057000142136,1.54,0.09053563019526341,0.08871776122457747,1.54,25decfa4-d6e0-d757-722e-0f9db423fc2d_deviceMotion.csv
14,0.2541870916609982,0.25934078721987597,0.02,0.1632212467661573,0.42726835160799875,0.18,278e797b-f81d-27bc-0ab5-7763b027915a_deviceMotion.csv
15,0.1335947218367727,0.19617575940967605,0.06,0.3656953476636771,0.4790629921825126,0.08,28b71da8-4c96-556c-6281-c70af25020b6_deviceMotion.csv
16,0.2541870916609982,,,0.04017889720174182,0.3086424533456519,-0.36,2b36bb42-2be3-9075-0de9-1cc9d3480a55_deviceMotion.csv
17,0.21647853246120166,0.22196545875571633,0.1,0.293069975593149,0.3243336042356585,0.06,2db31f15-6d47-da79-ab6a-02b55c6d065b_deviceMotion.csv
18,0.0035008447592405605,0.14852959012518516,0.7000000000000001,0.2020807846365692,0.4121909998762128,0.8200000000000001,2e904acd-adbb-900e-bb01-0a4d495ff553_deviceMotion.csv
