,taps,spoint,dips,sdips,beeps,sbeeps,spointless,time_concert,time
2021-10-26 17:47:40.760000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25240.0,2021-10-26 17:47:40.760000+00:00
2021-10-26 17:47:40.780000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25220.0,2021-10-26 17:47:40.780000+00:00
2021-10-26 17:47:40.800000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25200.0,2021-10-26 17:47:40.800000+00:00
2021-10-26 17:47:40.820000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25180.0,2021-10-26 17:47:40.820000+00:00
2021-10-26 17:47:40.840000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25160.0,2021-10-26 17:47:40.840000+00:00
2021-10-26 17:47:40.860000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25140.0,2021-10-26 17:47:40.860000+00:00
2021-10-26 17:47:40.880000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25120.0,2021-10-26 17:47:40.880000+00:00
2021-10-26 17:47:40.900000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25100.0,2021-10-26 17:47:40.900000+00:00
2021-10-26 17:47:40.920000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25080.0,2021-10-26 17:47:40.920000+00:00
2021-10-26 17:47:40.940000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25060.0,2021-10-26 17:47:40.940000+00:00
2021-10-26 17:47:40.960000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25040.0,2021-10-26 17:47:40.960000+00:00
2021-10-26 17:47:40.980000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25020.0,2021-10-26 17:47:40.980000+00:00
2021-10-26 17:47:41+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-25000.0,2021-10-26 17:47:41+00:00
2021-10-26 17:47:41.020000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24980.0,2021-10-26 17:47:41.020000+00:00
2021-10-26 17:47:41.040000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24960.0,2021-10-26 17:47:41.040000+00:00
2021-10-26 17:47:41.060000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24940.0,2021-10-26 17:47:41.060000+00:00
2021-10-26 17:47:41.080000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24920.0,2021-10-26 17:47:41.080000+00:00
2021-10-26 17:47:41.100000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24900.0,2021-10-26 17:47:41.100000+00:00
2021-10-26 17:47:41.120000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24880.0,2021-10-26 17:47:41.120000+00:00
2021-10-26 17:47:41.140000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24860.0,2021-10-26 17:47:41.140000+00:00
2021-10-26 17:47:41.160000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24840.0,2021-10-26 17:47:41.160000+00:00
2021-10-26 17:47:41.180000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24820.0,2021-10-26 17:47:41.180000+00:00
2021-10-26 17:47:41.200000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24800.0,2021-10-26 17:47:41.200000+00:00
2021-10-26 17:47:41.220000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24780.0,2021-10-26 17:47:41.220000+00:00
2021-10-26 17:47:41.240000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24760.0,2021-10-26 17:47:41.240000+00:00
2021-10-26 17:47:41.260000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24740.0,2021-10-26 17:47:41.260000+00:00
2021-10-26 17:47:41.280000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24720.0,2021-10-26 17:47:41.280000+00:00
2021-10-26 17:47:41.300000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24700.0,2021-10-26 17:47:41.300000+00:00
2021-10-26 17:47:41.320000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24680.0,2021-10-26 17:47:41.320000+00:00
2021-10-26 17:47:41.340000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24660.0,2021-10-26 17:47:41.340000+00:00
2021-10-26 17:47:41.360000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24640.0,2021-10-26 17:47:41.360000+00:00
2021-10-26 17:47:41.380000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24620.0,2021-10-26 17:47:41.380000+00:00
2021-10-26 17:47:41.400000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24600.0,2021-10-26 17:47:41.400000+00:00
2021-10-26 17:47:41.420000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24580.0,2021-10-26 17:47:41.420000+00:00
2021-10-26 17:47:41.440000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24560.0,2021-10-26 17:47:41.440000+00:00
2021-10-26 17:47:41.460000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24540.0,2021-10-26 17:47:41.460000+00:00
2021-10-26 17:47:41.480000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24520.0,2021-10-26 17:47:41.480000+00:00
2021-10-26 17:47:41.500000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24500.0,2021-10-26 17:47:41.500000+00:00
2021-10-26 17:47:41.520000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24480.0,2021-10-26 17:47:41.520000+00:00
2021-10-26 17:47:41.540000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24460.0,2021-10-26 17:47:41.540000+00:00
2021-10-26 17:47:41.560000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24440.0,2021-10-26 17:47:41.560000+00:00
2021-10-26 17:47:41.580000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24420.0,2021-10-26 17:47:41.580000+00:00
2021-10-26 17:47:41.600000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24400.0,2021-10-26 17:47:41.600000+00:00
2021-10-26 17:47:41.620000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24380.0,2021-10-26 17:47:41.620000+00:00
2021-10-26 17:47:41.640000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24360.0,2021-10-26 17:47:41.640000+00:00
2021-10-26 17:47:41.660000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24340.0,2021-10-26 17:47:41.660000+00:00
2021-10-26 17:47:41.680000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-24320.0,2021-10-26 17:47:41.680000+00:00
